,text,start,duration
0,[MUSIC PLAYING],0.0,3.486
1,[AUDIENCE EXCLAIMING],90.636,3.984
2,[APPLAUSE],94.62,3.486
3,"SPOT: Hello, world.",102.588,1.582
4,"This is CS50, Harvard
University's introduction",104.17,3.69
5,"to the intellectual
enterprises of computer science",107.86,2.88
6,and the art of programming.,110.74,2.34
7,"Woof, woof.",113.08,1.11
8,[LAUGHTER],114.19,3.423
9,"I'm sorry, Dave.",128.87,1.987
10,"[PINK, ""WHAT ABOUT US""] What about us?",130.857,1.583
11,What about us?,135.35,0.96
12,La-da-da-da-da-da-da.,136.31,1.224
13,La-da-da-da-da-da-da.,137.534,1.431
14,We are searchlights.,138.965,2.862
15,We can see in the dark.,141.827,1.923
16,We are rockets pointed up at the stars.,147.02,4.26
17,We are billions of beautiful hearts.,154.71,3.9
18,And you sold us down the river too far.,161.977,4.773
19,What about us?,169.57,2.35
20,"What about all the times you
said you had the answers?",171.92,5.35
21,What about us?,177.27,2.0
22,"What about all the
broken happy ever-afters?",179.27,6.0
23,What about us?,185.27,1.5
24,"What about all the plans
that ended in disaster?",186.77,6.0
25,What about love?,192.77,2.21
26,What about trust?,194.98,1.169
27,What about us?,196.149,1.996
28,La-da-da-da-da-da-da.,201.139,3.493
29,La-da-da-da-da-da-da.,204.632,3.992
30,La-da-da-da-da-da-da.,208.624,1.497
31,La-da-da-da-da-da-da.,213.115,1.497
32,DAVID J. MALAN: All right.,235.107,1.083
33,So--,236.19,0.65
34,"[APPLAUSE, CHEERING]",236.84,3.5
35,"This is CS50, Harvard
University's introduction",242.66,2.82
36,"to the intellectual
enterprises of computer science",245.48,2.31
37,and the art of programming.,247.79,1.41
38,And this is Spot.,249.2,1.89
39,"And our thanks to our
friends at 3D Cowboys",251.09,2.28
40,for bringing him by class today.,253.37,1.71
41,"Perhaps a round of applause for
our special Professor [INAUDIBLE]..",255.08,3.444
42,[APPLAUSE],258.524,3.336
43,My name is David Malan.,261.86,0.96
44,"And I actually took this class,
CS50, myself, some years ago.",262.82,3.45
45,But I almost didn't.,266.27,1.23
46,"And I didn't because when I
got to campus, as a first-year,",267.5,3.09
47,"I really gravitated toward
things already familiar, things",270.59,2.76
48,"with which I was already comfortable,
specifically, government.",273.35,2.1
49,"And I came in here thinking I was going
to major or concentrate in government.",275.45,3.25
50,"And it was only once I got to
sophomore year, fall semester,",278.7,3.14
51,"that some friends of mine were
coming to this class called",281.84,2.46
52,"CS50 that was very much to
beware at the time, in that it",284.3,3.99
53,"was an unfamiliar field to so
many of us, myself included.",288.29,2.58
54,"But I got up the nerve to go over the
threshold, sit in on the first class,",290.87,3.45
55,"just shop it, so to speak.",294.32,1.96
56,And I was hooked.,296.28,1.29
57,"I found that homework was,
for the first time, fun.",297.57,2.9
58,"And this was after having enrolled
only because the professor let",300.47,3.313
59,"me enroll pass/fail or [INAUDIBLE]
because I didn't really",303.783,2.417
60,think I could even cut it.,306.2,1.083
61,"But fast forward to five
Mondays later in the semester,",307.283,2.737
62,"I actually switched to a
letter grade, deciding,",310.02,2.0
63,"wow, this is actually something for me.",312.02,2.22
64,"And I say this because
computer science, what",314.24,3.24
65,"I didn't realize about
it at the time, really",317.48,2.16
66,"is this very general purpose way of
thinking and way of solving problems.",319.64,4.04
67,"And even if this is the
only CS class you ever take,",323.68,2.81
68,"even if this is the only formal
training you have in programming",326.49,3.45
69,"as a practical skill, it's
just so darn applicable",329.94,2.61
70,"to so many other fields-- the
arts, humanities, social sciences,",332.55,3.12
71,"natural sciences, and beyond, and
certainly within the STEM fields,",335.67,3.99
72,themselves.,339.66,0.87
73,"That said, it's going to often
feel a little something like this.",340.53,3.28
74,"This is from our friends at MIT, down
the road, which is one of their hacks",343.81,3.5
75,"whereby they connected a fire
hydrant to a drinking fountain,",347.31,3.99
76,"with a little sign up there that says,
""GETTING AN EDUCATION FROM MIT IS LIKE",351.3,3.66
77,"DRINKING FROM A FIRE HOSE,""
which is to say that it's",354.96,2.52
78,"going to feel, quite
often, in this class,",357.48,1.83
79,"too, that there's just
a lot of information.",359.31,1.95
80,"And you can't possibly
absorb it all, but realize",361.26,2.7
81,"that's to be expected, especially
in an introductory class.",363.96,2.79
82,"The whole point is for so much of it to
feel new, but with practice, with time,",366.75,4.77
83,"with years, even, looking
back, will you get all the more",371.52,2.87
84,comfortable with the material.,374.39,1.25
85,"But you're not meant to feel
comfortable along the way.",375.64,2.7
86,"And so let me encourage
you, invite you, expect",378.34,2.0
87,"you to get comfortable feeling
uncomfortable along the way,",380.34,3.24
88,"whether you have or have not prior
computer science or programming",383.58,3.81
89,experience.,387.39,0.69
90,"Now, back in my day, the class'
syllabus was a little bit different.",388.08,4.05
91,"And, really, when I and all of
my classmates exited the class,",392.13,3.308
92,"we would say to friends
that we learned how",395.438,1.792
93,"to program in C, which is a language
that we, ourselves, will still",397.23,3.63
94,learn in this class.,400.86,1.0
95,But that was it for languages.,401.86,2.18
96,"But nowadays, as you'll
see, we'll explore not just",404.04,2.91
97,"this older language called
C, but a more modern language",406.95,2.61
98,"called Python that's very much in vogue
for data science, and web applications,",409.56,4.02
99,and much more.,413.58,0.88
100,"But we'll also introduce
you, along the way,",414.46,1.833
101,"to another language called S-Q-L or SQL,
which is specifically for databases.",416.293,4.727
102,"And SQL is a different type
of programming language",421.02,2.31
103,"that's just going to give you
different ways of solving problems,",423.33,2.73
104,"different building blocks with which
to express problems you want to solve.",426.06,3.42
105,"We'll introduce you, toward
the end of the semester,",429.48,2.19
106,"yet another language,
JavaScript, often used",431.67,2.37
107,"with markup languages called HTML
and CSS, with which maybe you",434.04,3.375
108,"have some experience if
you've made websites.",437.415,1.875
109,"But we'll do this because so many of
today's actual real-world software",439.29,4.35
110,is web-based.,443.64,0.99
111,"Or it's phone-based,
mobile-based, but even then,",444.63,2.82
112,"it's using these same
languages, like JavaScript.",447.45,2.55
113,"And so by the end of
CS50, in particular,",450.0,2.7
114,"you won't know how to program
in X, or Y, or Z, per se.",452.7,3.12
115,"But, period, you'll
learn how to program.",455.82,3.33
116,"And, indeed, among the
goals of this class",459.15,2.04
117,"is to equip you with enough of a set
of concepts, enough practical skills",461.19,4.35
118,"and experience that after CS50, again,
if you never take another CS class,",465.54,3.9
119,you can teach yourself new languages.,469.44,2.25
120,And you won't feel--,471.69,0.96
121,"you won't have been reliant
on a class to, indeed,",472.65,2.79
122,"introduce you to each
and one of those ideas.",475.44,2.068
123,"And what are we going to
do, then, in this class?",477.508,2.042
124,"And, really, what are we
going to start doing today?",479.55,1.71
125,"Well, we're going to learn
how to solve problems.",481.26,2.142
126,"And that's really what
computer science is all about.",483.402,2.208
127,"We'll, very specifically,
today, knock off a few to-dos.",485.61,3.48
128,"We'll learn how to represent
simple things, like numbers.",489.09,3.04
129,"We'll learn how to represent letters
of an alphabet, like English.",492.13,2.75
130,"We'll learn how to represent
colors-- red, green, blue,",494.88,2.25
131,and everything in between.,497.13,1.11
132,"We'll learn how to represent,
more interestingly,",498.24,2.37
133,"full-fledged images that you might
see on the web or your phone.",500.61,2.82
134,"We'll talk about representing
videos and even audio files.",503.43,3.3
135,"So, by the end of today,
alone, you will exit here",506.73,2.81
136,"with a newfound mental
model for how you can",509.54,2.31
137,"represent all of today's media and
multimedia that we take for granted",511.85,4.29
138,and use most every day.,516.14,1.62
139,"But we'll also focus
today, ultimately, on how",517.76,2.61
140,"to write algorithms, like
step-by-step instructions for solving",520.37,3.15
141,"some problem, specifically,
implementing algorithms with code.",523.52,3.855
142,And that's what we'll find.,527.375,1.125
143,"An algorithm is just
something you can express",528.5,1.917
144,"in English or any human language,
but code is a translation of that",530.417,3.933
145,"to, presumably, the 0's and
1's that you've probably heard",534.35,2.91
146,is all that computers ultimately speak.,537.26,2.58
147,"And if you're feeling like
that's a lot for today,",539.84,2.19
148,"if you're feeling like that's
a lot for the whole semester,",542.03,2.458
149,"realize and take comfort in
knowing that -thirds of you",544.488,2.702
150,have never taken a CS course before.,547.19,2.53
151,"So even if you think, like
I did all those years ago,",549.72,2.42
152,"that, surely, my friends, the
kids I didn't even in the class,",552.14,2.907
153,"must know more than I,
have been programming",555.047,1.833
154,since they were six years old.,556.88,1.62
155,That's just not the case.,558.5,1.38
156,You're in very much good company.,559.88,1.38
157,"And within the class will
you find different tracks,",561.26,2.743
158,"by way of the homework
assignments, called ""problem sets,""",564.003,2.417
159,by way of the sections or recitations.,566.42,1.583
160,"There will be different
tracks for those of you",568.003,1.959
161,"less comfortable, more
comfortable, somewhere in between.",569.962,2.648
162,"And if you really don't
know why you are here today,",572.61,2.33
163,"we'll even have sections for those
least comfortable, where you just",574.94,3.03
164,"don't necessarily feel ready to dive
into CS or maybe STEM, more generally.",577.97,3.72
165,"But we'll get you there by way of
the course's support structure.",581.69,3.15
166,"And it's very much
grounded in this mindset.",584.84,2.94
167,"What ultimately matters in
this class is not so much",587.78,2.37
168,"where you end up relative
to your classmates,",590.15,1.875
169,"but where you end up relative
to yourself, when you began.",592.025,3.015
170,"So whether you have or have not
prior programming or CSS experience,",595.04,3.283
171,"it's not going to matter when
it comes to evaluation, when",598.323,2.417
172,"it comes to the output, be it a grade,
or a satisfactory mark, or the like.",600.74,3.58
173,"It's going to depend on,
really, where you are today,",604.32,2.54
174,"in this, what we call week zero, versus
the very end of the semester, when",606.86,5.1
175,"you will have built something grand,
of your very own, in software.",611.96,3.09
176,"But CS50 is also
characterized, fairly uniquely,",615.05,2.22
177,"by its community, its culture.",617.27,1.877
178,"And along the way, you'll
see that your experience",619.147,2.083
179,"is punctuated by a lot of social
and academic events alike.",621.23,3.45
180,"CS50 lunches, most every Friday,
we'll gather at a nearby restaurant",624.68,3.21
181,"called Changsho where we'll
have Chinese lunch together.",627.89,2.39
182,"And as many of you as
might want to attend",630.28,1.75
183,"that week will be able to join us,
sit down, and chat casually with me,",632.03,2.958
184,"the course's teaching staff, friends
of ours, alumni from industry, as well.",634.988,4.692
185,"CS50 Puzzle Day, coming up this
weekend, will be an opportunity,",639.68,2.95
186,"even if you have no prior CS
experience, just to solve problems,",642.63,4.11
187,"not jigsaw puzzles, but
puzzles in the logical sense.",646.74,3.05
188,We'll hand you a packet of puzzles--,649.79,2.7
189,"logic problems, or
riddles, or the like--",652.49,1.74
190,"that you, as teams, can solve together.",654.23,1.857
191,"And at the very end,
we'll walk you through.",656.087,1.833
192,"And along the way, there'll be not only
these puzzles, but pizza, and prizes,",657.92,3.43
193,"and so much more, as well.",661.35,1.61
194,"Towards the end of the semester,
we'll have a CS50 Hackathon whereby",662.96,3.39
195,"we'll get together around 7:00 PM,
at the start of reading period,",666.35,3.48
196,"and we'll finish up around
7:00 AM the next morning.",669.83,2.91
197,"And it will be this
opportunity to really bond",672.74,2.34
198,"with your classmates, your project
partners, if you work in a team,",675.08,3.06
199,"on your very own final
project, which is meant",678.14,2.37
200,"to be a capstone of the course,
something you build, yourselves,",680.51,3.24
201,"that we don't hand you
a specification for.",683.75,2.01
202,"But it's your final offboarding,
so that when you exit CS50,",685.76,3.33
203,you don't need CS50 anymore.,689.09,2.25
204,You don't need me.,691.34,0.76
205,You don't need your TF.,692.1,0.958
206,"You can actually write code
and solve problems on your own.",693.058,2.852
207,"So this picture here is one of our past
photos from earlier in the evening.",695.91,3.83
208,"Things get a little quieter
as we then, around 5:00 AM,",699.74,2.85
